a_cm,b_cm,u_px,v_px,Y,X
15,15.3,0,240,13.3,15.3
15,16.2,10,226,13.2,16.1
15,17.9,22,212,13.2,17.1
15,19.3,34,197,13.1,18.2
15,20.4,48,180,13,19.4
12,15.2,59,240,10.8,15.3
12,16.7,68,227,10.7,16.1
12,17.9,78,212,10.7,17.1
12,19,88,197,10.7,18.2
12,20.2,100,180,10.6,19.4
9,15.4,130,240,7.8,15.3
9,16.7,137,227,7.8,16.1
9,17.8,145,211,7.7,17.1
9,19.1,152,197,7.7,18.2
9,20.5,161,180,7.6,19.5
6,15.5,196,240,15.4,5.1
6,16.9,202,224,16.2,5
6,17.9,206,212,17.1,5
6,19.1,212,196,18.3,4.9
6,20.6,217,180,19.5,4.8
3,15.4,262,240,2.3,15.4
3,16.8,264,226,2.2,16.2
3,18.2,267,208,2.2,17.5
3,19.1,269,195,2.2,18.4
3,20.6,272,180,2.1,19.6